depths,Age,Depth,Age_OLD
390,-62,0,-62
400,8,10,12
410,198,20,211
420,909,30,919
430,1462,40,1304
440,1753,50,1520
450,2006,60,1930
460,2163,70,2029
470,2327,80,2144
480,2492,90,2271
500,2815,110,2419
510,2985,120,2757
520,3152,130,2934
530,3302,140,3251
540,3441,150,3320
550,3583,160,3415
560,3726,170,3521
570,3867,180,3645
580,4006,190,3781
590,4143,200,3940
600,4285,210,4132
610,4421,220,4315
620,4577,230,4411
630,4746,240,4531
640,4913,250,4680
650,5077,260,4830
660,5240,270,5001
670,5405,280,5183
680,5569,290,5405
690,5725,300,5653
700,5892,310,5746
710,6062,320,5871
720,6237,330,6012
730,6413,340,6166
740,6590,350,6338
750,6765,360,6541
760,6933,370,6764
770,7091,380,6990
780,7253,390,7083
790,7407,400,7200
800,7568,410,7335
810,7726,420,7482
820,7887,430,7636
830,8045,440,7806
840,8197,450,8027
850,8360,460,8249
860,8545,470,8358
870,8746,480,8488
880,8946,490,8644
890,9148,500,8811
900,9352,510,9004
920,9764,530,9527
